"r" "dlk" "km"
"884958" 0.117440620137546 0.446 1101.80159295201
"706217" 0.26505376818598 0.016 2438.10183314076
"242075" 0.1516347159983 0.26 1411.35110880389
"266417" 0.328448800447152 0.002 3011.99919904195
"863138" 0.124192508277818 0.406 1162.92453398307
"422415" 0.324141592316591 0.002 2973.00725736529
"226339" 0.231699076448094 0.043 2136.15120631628
"608551" 0.0991145095671854 0.563 935.900477227129
"379110" 0.155506364327789 0.243 1446.40005031772
"733392" 0.261506517374894 0.018 2405.98957096403
"601298" 0.267754192363036 0.015 2462.5480123878
"113010" 0.308924326006179 0.004 2835.24963282803
"263025" 0.330375408482613 0.002 3029.44023877705
"155287" 0.331085024085065 0.002 3035.86418889623
"310688" 0.448189888076346 0 4095.98152903637
"780309" 0.19944386302437 0.098 1844.15384689869
"50983" 0.616023258930202 0 5615.32974935958
"309108" 0.178968625896583 0.153 1658.79729395257
"744121" 0.215123473914254 0.067 1986.09694665118
"370594" 0.36244598602236 0 3319.76614155702
"468559" 0.228059746484419 0.048 2103.20537751391
"837423" 0.146364635567418 0.285 1363.64255547576
"412802" 0.166012351523796 0.199 1541.5077924061
"118958" 0.392103839102554 0 3588.25032957489
"279011" 0.0230718395129094 0.969 247.507609778892
"758233" 0.14067545306788 0.314 1312.1399891995
"99921" 0.625453282799481 0 5700.69709859712
"876497" 0.1886444406684 0.125 1746.38971898071
"26335" 0.741162607240295 0 6748.18101237154
"290613" 0.25543857715485 0.022 2351.05821775669
"190648" 0.0445934597878327 0.89 442.336774544043
"735547" 0.179136491342303 0.153 1660.31693253762
"693978" 0.120280263681626 0.429 1127.50808590452
"624615" 0.268714916809584 0.015 2471.24518012422
"693489" 0.212426390688519 0.071 1961.68101209516
"488190" 0.0505576790264743 0.861 496.329170929492
"688814" 0.0343324116165966 0.933 349.446396436857
"531338" 0.0838045746954261 0.663 797.303950312783
"56622" 0.0920041484023124 0.609 871.532380901922
"395971" 0.119302033160541 0.435 1118.65244060755
"726205" 0.099982463568259 0.557 943.757820258163
"644685" 0.313961016820849 0.003 2880.84537571667
"750788" 0.316711472079109 0.003 2905.7444722459
"599092" 0.291244167764557 0.007 2675.19614154213
"27947" 0.445721760532818 0 4073.63826576452
"681294" 0.130701110914647 0.368 1221.84507989565
"818479" 0.152310318599339 0.257 1417.46714880422
"390073" 0.0742334257479871 0.724 710.659035503782
"177623" 0.176440408600543 0.162 1635.91005508114
"472733" 0.205755767481503 0.084 1901.29373960898
"291003" 0.449027473742568 0 4103.56395608808
"21671" 0.407950393667904 0 3731.70472338602
"421409" 0.295029717249212 0.006 2709.4656544715
"21639" 0.408601132136271 0 3737.59567539861
"156119" 0.166745167856486 0.196 1548.14177219945
"541400" 0.437227601561629 0 3996.74303777523
"311766" 0.457548473623887 0 4180.70216727452
"549348" 0.313861105193454 0.003 2879.94090390335
"377018" 0.0913334718222272 0.614 865.460934781399
"1401" 0.265661882324866 0.016 2443.60691910769
"381001" 0.0650380495201915 0.781 627.415885254068
"838304" 0.0881022337871051 0.635 836.209447230819
"657760" 0.167595723204415 0.193 1555.84161012554
"410844" 0.0584027934149868 0.819 567.348781176119
"672932" 0.287411351247418 0.008 2640.49873348488
"561100" 0.339491902965308 0.001 3111.96929481281
"170592" 0.292073477712615 0.007 2682.70365084893
"715949" 0.311267938190534 0.003 2856.46569363472
"285750" 0.111487122001339 0.483 1047.9062516863
"295200" 0.391540719648348 0 3583.1525678114
"170643" 0.385233248990037 0 3526.05281303265
"119295" 0.487856641364746 0 4455.07347069325
"309760" 0.225256447286511 0.051 2077.82789968749
"666068" 0.307691139770206 0.004 2824.08594527638
"734277" 0.111344947946621 0.484 1046.61919002561
"377231" 0.46473695653902 0 4245.77747779451
"317514" 0.189510057960583 0.122 1754.22590844451
"312769" 0.374972340805532 0 3433.1637021859
"153496" 0.189147963201785 0.123 1750.94796661108
"543707" 0.341843460924339 0.001 3133.25728647897
"289751" 0.340294236187415 0.001 3119.23259142011
"555654" 0.250114355834755 0.026 2302.85954221238
"335408" 0.128025274839062 0.383 1197.62148980368
"680961" 0.0341442702617468 0.934 347.743205759067
"478601" 0.305824887419989 0.004 2807.19128855495
"542734" 0.311118127100684 0.003 2855.10949604666
"718091" 0.130707767055527 0.368 1221.90533606371
"877800" 0.14542173703992 0.29 1355.10676076216
"789046" 0.150016945382159 0.268 1396.70588721284
"19128" 0.477984357772025 0 4365.70246878334
"720508" 0.16091586547966 0.22 1495.37074015203
"658811" 0.327626426738894 0.002 3004.5544815598
"146253" 0.154478307605951 0.247 1437.09334246356
"431989" 0.256885027232591 0.021 2364.1525227821
"365602" 0.0399748312935213 0.911 400.525632055124
"517190" 0.305269118208583 0.004 2802.16006646864
"248688" 0.061728244506449 0.8 597.453152981799
"666414" 0.181443212779328 0.146 1681.19903180247
"807990" 0.146971812108666 0.282 1369.13915363542
"313725" 0.408930048727448 0 3740.57326462831
"135318" 0.216123589414077 0.065 1995.15071049471
"688110" 0.27554035790004 0.012 2533.0339752902
"21831" 0.742936321260551 0 6764.23794566394
"102892" 0.373078773397709 0 3416.02176994381
"611932" 0.280285790861986 0.01 2575.99304289823
"397805" 0.317043412238287 0.003 2908.74943298485
"344844" 0.109059542316026 0.499 1025.93005675076
"154889" 0.237987838184893 0.036 2193.08159449971
"485973" 0.180597731669638 0.148 1673.54512952553
"744886" 0.121011051130574 0.424 1134.12369878499
"321807" 0.220807058047686 0.058 2037.54883249637
"699083" 0.443873303294182 0 4056.90470317457
"597351" 0.173390847311581 0.172 1608.30323592725
"717311" 0.220454630673912 0.058 2034.35840677584
"70156" 0.469668142807689 0 4290.41811775347
"674352" 0.178062829693905 0.156 1650.59737613222
"153586" 0.264494170512618 0.017 2433.03595306701
"501849" 0.454761462787131 0 4155.47214339247
"884661" 0.129716856914239 0.374 1212.93490573745
"736426" 0.0579972051512559 0.821 563.677104896554
"699725" 0.283829743244531 0.009 2608.07544533069
"761202" 0.064091923835295 0.786 618.850875993774
"176120" 0.424137717122041 0 3878.24400193782
"469297" 0.117846669004359 0.444 1105.47743894151
"19576" 0.693840110578287 0 6319.78378291185
"278964" 0.229172232852441 0.046 2113.27640316744
"355830" 0.219806046474759 0.059 2028.4869567555
"734582" 0.165052186665831 0.203 1532.81569046746
"630263" 0.159029549222427 0.228 1478.29445053326
"294482" 0.057043741983161 0.827 555.045671468156
"581288" 0.338213847341318 0.001 3100.39941733311
"333370" 0.0913730480979331 0.613 865.819207654993
"703664" 0.274280169175272 0.012 2521.62584181527
"406015" 0.268501951403272 0.015 2469.31726430256
"503596" 0.175827157982695 0.164 1630.35847001734
"547480" 0.250999935671368 0.025 2310.87644696658
"860263" 0.00622273250954294 0.998 94.9773912093586
"849749" 0.0767257249229227 0.709 733.221117744558
"241821" 0.0130334674207039 0.99 156.633055477558
"673227" 0.291466301200755 0.007 2677.2070529553
"481507" 0.31319192640132 0.003 2873.88301683516
"816342" 0.152776543344223 0.255 1421.68775006372
"459484" 0.259629821568396 0.019 2389.00037257527
"627042" 0.0884725989442184 0.633 839.562258650068
"481172" 0.186956529460195 0.129 1731.10953437141
"30408" 0.787524867549648 0 7167.88549267132
"781363" 0.297328164563807 0.006 2730.27285043718
"264107" 0.421892077766075 0 3857.91486154329
"41344" 0.547547718046597 0 4995.43997030147
"120381" 0.176113343943141 0.163 1632.94923088613
"621042" 0.227770732846147 0.048 2100.58901847443
"793433" 0.0554760381701569 0.835 540.853690539907
"147740" 0.346736476883148 0.001 3177.55238137701
"680115" 0.243756667606144 0.031 2245.3051819182
"881407" 0.118271350963537 0.441 1109.32196506643
"653148" 0.22345744946753 0.054 2061.5420792888
"115909" 0.378739053013694 0 3467.26268655846
"229378" 0.128403356317963 0.381 1201.04415491005
"276825" 0.100588930451714 0.553 949.24799408578
"210955" 0.470453050425691 0 4297.52366527636
"411416" 0.262712869893778 0.018 2416.91034043511
"257804" 0.321542275523767 0.002 2949.47637478132
"871448" 0.193674337182067 0.111 1791.92395497663
"347225" 0.210049894673393 0.076 1940.16726323332
"742868" 0.346299232273533 0.001 3173.59412911714
"416193" 0.194404985441875 0.11 1798.53830781703
"235189" 0.116143745246892 0.454 1090.06134995343
"433749" 0.354314330371479 0.001 3246.1525539934
"870433" 0.193233175343332 0.112 1787.93024114519
"569951" 0.337392869191462 0.001 3092.967333448
"588337" 0.0700921970859477 0.75 673.169659191964
"614088" 0.370476403652017 0 3392.46324983769
"375091" 0.248357048114697 0.027 2286.95113053331
"351540" 0.345924800219772 0.001 3170.20450122836
"845482" 0.213001658955501 0.07 1966.88875363786
"424022" 0.228681286242391 0.047 2108.83200182783
"636193" 0.273670972991756 0.012 2516.11096040316
"830876" 0.187902988799931 0.127 1739.67756411495
"372593" 0.38755234104783 0 3547.04690004197
"272628" 0.19674490528558 0.104 1819.72094290411
"201805" 0.215952291587393 0.065 1993.59999953184
"562518" 0.229570796714467 0.046 2116.88448951744
"191530" 0.46101015101288 0 4212.03975737083
"289605" 0.235694230591581 0.039 2172.31821116725
"254983" 0.230211326269275 0.045 2122.68302311187
"359493" 0.155442151006444 0.243 1445.81874521129
"133179" 0.385491407731514 0 3528.38985138461
"647375" 0.213032035100916 0.07 1967.16374032401
"99896" 0.56861537593247 0 5186.15954145965
"583774" 0.196696393087011 0.104 1819.28177563848
"276159" 0.216099466945485 0.065 1994.9323365829
"663457" 0.226750503539227 0.049 2091.3531700022
"555524" 0.194710334484713 0.109 1801.30254667164
"516450" 0.14298612955919 0.302 1333.05789245649
"197500" 0.393337834445878 0 3599.42134174743
"702310" 0.200159809823982 0.096 1850.63511156199
"644665" 0.358657245672386 0.001 3285.46774262292
"77710" 0.43737349076099 0 3998.06373159366
"854694" 0.112428163668896 0.477 1056.42523677001
"530662" 0.146392534147582 0.285 1363.89511346172
"7797" 0.688550733827941 0 6271.90054544023
"383030" 0.105514108747777 0.521 993.83424556144
"253589" 0.250721323282115 0.025 2308.354247504
"456672" 0.252654290191954 0.024 2325.85285233727
"321361" 0.393398472520258 0 3599.97028115038
"538918" 0.450054432486046 0 4112.8607242535
"626749" 0.216084221386561 0.065 1994.79432283331
"848374" 0.167418065154359 0.194 1554.23332185244
"667915" 0.12464005876191 0.403 1166.97608242097
"481193" 0.117846669004359 0.444 1105.47743894151
"18075" 0.656072235291949 0 5977.88184881048
"222962" 0.254872650258486 0.022 2345.93504101032
"340982" 0.132317289695286 0.359 1236.47589104837
"528825" 0.327008500640233 0.002 2998.96057068549
"875564" 0.0234539054351051 0.968 250.966344927813
"435079" 0.418937320458356 0 3831.16627612115
"861563" 0.064773905431117 0.782 625.024663236644
"132520" 0.139777118711198 0.319 1304.00762136862
"120439" 0.334241730629277 0.001 3064.44096385838
"237613" 0.159769331697392 0.225 1484.99149284998
"794812" 0.0800812571488718 0.687 763.597805585574
"434118" 0.418937320458356 0 3831.16627612115
"168796" 0.438765414455033 0 4010.66442462992
"336400" 0.169558597439339 0.186 1573.6109575466
"889303" 0.00662650829014746 0.997 98.6326595898363
"422823" 0.094295423577158 0.594 892.274649507155
"495951" 0.256909195408039 0.021 2364.37131046519
"290753" 0.357846091334968 0.001 3278.12459094401
"544514" 0.331740640779191 0.002 3041.79930211219
"605892" 0.311585367601106 0.003 2859.33929265485
"275535" 0.399783617702949 0 3657.77320151403
"61069" 0.632132297469759 0 5761.16033663597
"611860" 0.385863301226565 0 3531.75649841661
"632247" 0.070034087031652 0.75 672.643605242575
"458699" 0.396257676182061 0 3625.8538463377
"658971" 0.0735801117852864 0.728 704.744768266631
"368744" 0.094687648932886 0.592 895.825355145487
"591166" 0.180601057135755 0.148 1673.57523403336
"228975" 0.364374725969718 0 3337.22648088987
"496259" 0.0209099023439898 0.975 227.936201701121
"519474" 0.202814584763968 0.09 1874.66804112722
"302024" 0.448708691286459 0 4100.67810832792
"837748" 0.157757947172174 0.233 1466.78299543836
"488044" 0.357290950512846 0.001 3273.09905748884
"347470" 0.320509683613032 0.002 2940.12861113984
"186981" 0.556105641733325 0 5072.91244229522
"280575" 0.177388254285864 0.159 1644.49063502068
"371643" 0.407584106879528 0 3728.3888322899
"1110" 0.865072420660351 0 7869.90164243787
"865532" 0.197952042608028 0.101 1830.64881698074
"855079" 0.156862962347021 0.237 1458.6809499727
"286039" 0.159737629401897 0.225 1484.70450090079
"86143" 0.157420500402417 0.235 1463.72818490529
"596184" 0.242429434758002 0.032 2233.29011688363
"538081" 0.532653230539492 0 4860.60437132961
"151750" 0.336384841509747 0.001 3083.84194285101
"688974" 0.141315994950131 0.311 1317.9386343908
"209472" 0.132610726196656 0.357 1239.13228902135
"835919" 0.126948993318238 0.389 1187.87821643134
"781452" 0.235879009594422 0.039 2173.99096341962
"789360" 0.210766513120877 0.074 1946.65460813556
"665895" 0.0885980597355661 0.632 840.698019846335
"852640" 0.0899509462506152 0.623 852.945320299646
"581194" 0.353449805483467 0.001 3238.32625375678
"383" 0.559024271329868 0 5099.33397372684
"88135" 0.377893068341715 0 3459.604225674
"260285" 0.120324055442262 0.429 1127.90452037551
"666073" 0.260157304761127 0.019 2393.77552930393
"270647" 0.263799435614387 0.017 2426.74671377059
"381357" 0.301799510224827 0.005 2770.75068293234
"832157" 0.114998466933753 0.461 1079.69346805968
"782922" 0.0558843600010304 0.833 544.550113032649
"9782" 0.392492305547818 0 3591.76700685585
"209760" 0.19512336612822 0.108 1805.04160577119
"385623" 0.305663012998755 0.004 2805.72588502664
"269606" 0.306550825288472 0.004 2813.76299954981
"144327" 0.318147652589138 0.003 2918.7458097682
"374302" 0.220721943511425 0.058 2036.7783145801
"463703" 0.108363135606713 0.503 1019.62568301964
"146982" 0.479236505535811 0 4377.03780970399
"337716" 0.264722612143351 0.017 2435.10397078802
"761943" 0.179994833721727 0.15 1668.08726426587
"55004" 0.730685768110004 0 6653.33713950981
"507388" 0.229010936592501 0.046 2111.81623357042
"104291" 0.520749446215197 0 4752.84276565955
"45790" 0.753979276296635 0 6864.20670632116
"886250" 0.0340241726269141 0.934 346.655995707694
"76887" 0.767463681274465 0 6986.27722543754
"267521" 0.374778874173632 0 3431.41230327534
"585711" 0.335698885173581 0.001 3077.63217340367
"564329" 0.392015556170026 0 3587.45112905989
"557622" 0.215469857179604 0.066 1989.23265676105
"65922" 0.297031131957291 0.006 2727.58389793749
"510670" 0.11087726258447 0.487 1042.38536620952
"581504" 0.0821116322082664 0.674 781.978218952627
"236296" 0.105106801325052 0.524 990.147006219863
"22294" 0.708714716053444 0 6454.43939545012
"292809" 0.247563501538887 0.028 2279.76737695935
"381979" 0.124003726344078 0.407 1161.21554432507
"202385" 0.130600487645673 0.369 1220.93416579162
"47762" 0.392336960580316 0 3590.36071263254
"328695" 0.343509082861455 0.001 3148.33569259698
"19763" 0.60599074738905 0 5524.50824897576
"465853" 0.328257039640668 0.002 3010.26324248827
"853006" 0.137091237962515 0.333 1279.69309968113
"574615" 0.473439993047887 0 4324.56361528244
"134161" 0.316331862579874 0.003 2902.30797440196
"407738" 0.365592000220203 0 3348.24612172
"20737" 0.618049434082987 0 5633.67214215539
"811263" 0.207881330833203 0.08 1920.53586576755
"522403" 0.327329400562712 0.002 3001.86558727212
"267928" 0.0841612435678424 0.661 800.532773125514
"731101" 0.254850932548677 0.022 2345.73843670225
"85085" 0.281009854770619 0.01 2582.54778946255
"185222" 0.527868251043937 0 4817.2873000948
"132858" 0.182373589318426 0.143 1689.62146848308
"702088" 0.335338216896018 0.001 3074.36714510295
"406495" 0.350119732769174 0.001 3208.18004370173
"294736" 0.152463297168537 0.257 1418.85202069041
"356145" 0.369400921725189 0 3382.7272149645
"205315" 0.335939461674377 0.001 3079.81004468443
"23480" 0.532738359249657 0 4861.37501755825
"73051" 0.621274609996061 0 5662.86875102303
"754835" 0.00795111001511713 0.996 110.623905807623
"770712" 0.139693136931605 0.319 1303.24735797932
"702888" 0.268861344762203 0.015 2472.5707511241
"126571" 0.201541718978524 0.093 1863.14514579368
"749442" 0.291599537753857 0.007 2678.41320593196
"85915" 0.572293748349828 0 5219.45881059526
"314664" 0.283443960076924 0.009 2604.58305900638
"33130" 0.148997205244162 0.273 1387.47446704905
"353695" 0.314071217593307 0.003 2881.84299226135
"246145" 0.397311135372132 0 3635.39051557979
"671873" 0.0667358343525075 0.771 642.785453000623
"127360" 0.490019921412834 0 4474.65703547778
"408033" 0.270286138941809 0.014 2485.4690114051
"682747" 0.220694508650889 0.058 2036.52995451727
"118482" 0.352141347169492 0.001 3226.48114929043
"227952" 0.443470929124691 0 4053.26212318461
"772506" 0.159410761715586 0.226 1481.74545982957
"534985" 0.154575847164137 0.247 1437.97634060264
"77368" 0.470205831842976 0 4295.28566509935
"672566" 0.350620976230312 0.001 3212.71765953316
"9395" 0.137046687563223 0.333 1279.28979746814
"233418" 0.327522658303741 0.002 3003.61509515248
"531781" 0.338470588775854 0.001 3102.72362520465
"86060" 0.664361767606871 0 6052.92464933288
"326331" 0.310890893122672 0.003 2853.05241086549
"664987" 0.0697757808932363 0.752 670.305232547659
"872369" 0.103162406991009 0.536 972.544952134877
"227976" 0.46159149413429 0 4217.30249285912
"208191" 0.485469369325351 0 4433.46216951978
"378721" 0.357782662954878 0.001 3277.55039168961
"360218" 0.323814627949297 0.002 2970.04734106837
"822249" 0.0821097216597413 0.674 781.960923295115
"188569" 0.42638861611705 0 3898.62075636273
"201330" 0.160060242221985 0.223 1487.62502386687
"365283" 0.296471656632997 0.006 2722.51912545538
"92419" 0.663818846124109 0 6048.00973411421
"377741" 0.384510423854297 0 3519.50928073032
