"alpha.post" "dens.alpha.post" "post.w" "dens.w.post"
"1" 0.0203866817207665 4.96664246870165 0.093 0.00181994226400878
"2" 0.0215436559498512 5.07667193453648 29.3072661448141 0.00195509744630428
"3" 0.0227006301789359 5.18481643093933 58.5215322896282 0.00199021647735769
"4" 0.0238576044080206 5.2900479695925 87.7357984344423 0.00192524088480788
"5" 0.0250145786371053 5.3921098635291 116.950064579256 0.00177641257045595
"6" 0.02617155286619 5.49173640332635 146.16433072407 0.00157119209598463
"7" 0.0273285270952747 5.5882477332809 175.378596868885 0.0013408433927289
"8" 0.0284855013243594 5.68040065591073 204.592863013699 0.00111493725828098
"9" 0.0296424755534441 5.76962338105762 233.807129158513 0.000913295556812164
"10" 0.0307994497825288 5.85577292733094 263.021395303327 0.00074542506325101
"11" 0.0319564240116135 5.93629331814334 292.235661448141 0.000613672159610563
"12" 0.0331133982406982 6.01346328868332 321.449927592955 0.000515598946824201
"13" 0.0342703724697829 6.0872507077677 350.664193737769 0.000446182349770499
"14" 0.0354273466988676 6.15527231309531 379.878459882583 0.00039944173526013
"15" 0.0365843209279523 6.21903501055525 409.092726027397 0.000369456954335209
"16" 0.037741295157037 6.27909713695492 438.306992172211 0.000350909962519183
"17" 0.0388982693861217 6.33370771720026 467.521258317025 0.000339320061463544
"18" 0.0400552436152064 6.38304668580068 496.73552446184 0.000331113338387149
"19" 0.0412122178442911 6.42846903317687 525.949790606654 0.000323616656291913
"20" 0.0423691920733758 6.46896465085985 555.164056751468 0.000315017806751778
"21" 0.0435261663024605 6.50322917430895 584.378322896282 0.000304297508643439
"22" 0.0446831405315452 6.53346794142427 613.592589041096 0.000291123695483717
"23" 0.0458401147606299 6.55946712252318 642.80685518591 0.000275705508529945
"24" 0.0469970889897146 6.57838294983098 672.021121330724 0.000258623167624645
"25" 0.0481540632187993 6.59327059113993 701.235387475538 0.000240662374677233
"26" 0.049311037447884 6.60413583211992 730.449653620352 0.00022273809564935
"27" 0.0504680116769687 6.60837780622795 759.663919765166 0.000205661458461683
"28" 0.0516249859060534 6.60811210322863 788.87818590998 0.000190029135401457
"29" 0.0527819601351381 6.60393488575932 818.092452054795 0.000176188958572032
"30" 0.0539389343642228 6.59410780611253 847.306718199609 0.000164198868248762
"31" 0.0550959085933075 6.57922600687425 876.520984344423 0.000153845577244998
"32" 0.0562528828223922 6.56063401784009 905.735250489237 0.000144734739009168
"33" 0.0574098570514769 6.5374066005875 934.949516634051 0.000136438628628051
"34" 0.0585668312805616 6.5087470552138 964.163782778865 0.000128660183515439
"35" 0.0597238055096463 6.47665585514781 993.378048923679 0.000121357206761228
"36" 0.060880779738731 6.44093039266463 1022.59231506849 0.000114776985472126
"37" 0.0620377539678157 6.39958472575895 1051.80658121331 0.000109379851349482
"38" 0.0631947281969004 6.35514771929675 1081.02084735812 0.000105670606595086
"39" 0.0643517024259851 6.30765244269869 1110.23511350294 0.00010399326092396
"40" 0.0655086766550698 6.25527645125216 1139.44937964775 0.000104361775082108
"41" 0.0666656508841545 6.19982983772646 1168.66364579256 0.000106389575366139
"42" 0.0678226251132392 6.14171455664458 1197.87791193738 0.000109346653342504
"43" 0.0689795993423239 6.07983001024991 1227.09217808219 0.000112305104538491
"44" 0.0701365735714086 6.0148360857766 1256.30644422701 0.00011434865387481
"45" 0.0712935478004933 5.94758920290617 1285.52071037182 0.000114957132318808
"46" 0.072450522029578 5.87756415254653 1314.73497651663 0.000113997087605776
"47" 0.0736074962586627 5.80455603998561 1343.94924266145 0.000111702787977416
"48" 0.0747644704877474 5.72972116305964 1373.16350880626 0.000108570462449043
"49" 0.0759214447168321 5.65295554827679 1402.37777495108 0.00010519939271564
"50" 0.0770784189459168 5.57348594000791 1431.59204109589 0.000102117309535084
"51" 0.0782353931750015 5.49261226122574 1460.8063072407 9.9628271781177e-05
"52" 0.0793923674040862 5.41037159585882 1490.02057338552 9.77208023195225e-05
"53" 0.0805493416331709 5.32609456439438 1519.23483953033 9.60674240730585e-05
"54" 0.0817063158622556 5.24069368660766 1548.44910567515 9.41276433458535e-05
"55" 0.0828632900913403 5.15433039175233 1577.66337181996 9.13350634131787e-05
"56" 0.0840202643204249 5.06670821332686 1606.87763796477 8.73154394421185e-05
"57" 0.0851772385495096 4.97821849129428 1636.09190410959 8.2061797218409e-05
"58" 0.0863342127785943 4.88914486011644 1665.3061702544 7.59983931113057e-05
"59" 0.087491187007679 4.79941714647671 1694.52043639922 6.98994532049644e-05
"60" 0.0886481612367638 4.70917596020979 1723.73470254403 6.46795228262386e-05
"61" 0.0898051354658485 4.61869661823951 1752.94896868885 6.11946537842074e-05
"62" 0.0909621096949332 4.52800411193016 1782.16323483366 5.97993030644422e-05
"63" 0.0921190839240179 4.43722792201172 1811.37750097847 6.02269189940136e-05
"64" 0.0932760581531026 4.34652214014834 1840.59176712329 6.18135852226906e-05
"65" 0.0944330323821873 4.25591243118006 1869.8060332681 6.36676165330115e-05
"66" 0.095590006611272 4.16566573987669 1899.02029941292 6.49455487124247e-05
"67" 0.0967469808403567 4.07577667724039 1928.23456555773 6.51016195606822e-05
"68" 0.0979039550694414 3.98624767231413 1957.44883170254 6.4032985306915e-05
"69" 0.099060929298526 3.89738575477842 1986.66309784736 6.20798051023826e-05
"70" 0.100217903527611 3.80921566119067 2015.87736399217 5.98882141919036e-05
"71" 0.101374877756695 3.72162927433448 2045.09163013699 5.81874611634726e-05
"72" 0.10253185198578 3.63488036918491 2074.3058962818 5.75560589383042e-05
