	div	mean.sim.div	Lon	Lat	envir
670	4.060443011	4.330535951	-77	-8.7	4.086683082
671	4.110873864	4.311762203	-76	-8.7	1.492190077
672	4.110873864	4.327114728	-75	-8.7	1.533133934
673	4.043051268	4.364016635	-74	-8.7	5.145176799
674	4.060443011	4.37910878	-73	-8.7	6.410808424
675	3.988984047	4.384307904	-72	-8.7	7.162827871
676	3.988984047	4.401626802	-71	-8.7	7.955791175
677	3.970291914	4.405230689	-70	-8.7	9.073886709
678	3.931825633	4.42048397	-69	-8.7	10.54510141
679	3.912023005	4.41841663	-68	-8.7	9.756284323
680	3.891820298	4.389244709	-67	-8.7	7.868029659
681	3.912023005	4.378143149	-66	-8.7	6.180520824
682	3.871201011	4.370050902	-65	-8.7	5.246240749
683	3.891820298	4.363476683	-64	-8.7	4.933892677
684	3.912023005	4.37114869	-63	-8.7	4.750422736
685	3.891820298	4.355378533	-62	-8.7	3.915651781
686	3.891820298	4.356924491	-61	-8.7	3.472525229
687	3.871201011	4.356283543	-60	-8.7	3.310995667
688	3.761200116	4.346255444	-59	-8.7	3.144628856
689	3.761200116	4.347826736	-58	-8.7	3.446093119
690	3.737669618	4.364390273	-57	-8.7	4.836111145
691	3.713572067	4.387920245	-56	-8.7	7.028248696
692	3.688879454	4.390602635	-55	-8.7	7.434404846
693	3.663561646	4.362834181	-54	-8.7	4.51011512
694	3.63758616	4.350465723	-53	-8.7	2.947165445
695	3.63758616	4.354820595	-52	-8.7	2.838845622
696	3.526360525	4.354952683	-51	-8.7	3.670852434
697	3.526360525	4.365819507	-50	-8.7	4.501131658
698	3.465735903	4.373594334	-49	-8.7	5.923801114
699	3.433987204	4.389849727	-48	-8.7	8.046662351
700	3.433987204	4.400661197	-47	-8.7	9.79878301
701	3.36729583	4.402585851	-46	-8.7	11.78706507
702	3.36729583	4.401302458	-45	-8.7	13.50618878
703	3.433987204	4.409307183	-44	-8.7	13.17051826
704	3.496507561	4.411789552	-43	-8.7	12.88823023
705	3.583518938	4.417096456	-42	-8.7	14.65589919
706	3.610917913	4.390170265	-41	-8.7	18.5009938
707	3.63758616	4.295702803	-40	-8.7	24.53321595
708	3.663561646	4.20915377	-39	-8.7	28.22161824
709	3.663561646	4.14527523	-38	-8.7	29.86835598
710	3.663561646	4.275951968	-37	-8.7	25.20421148
711	3.663561646	4.341485241	-36	-8.7	20.46128892
712	3.663561646	4.388042244	-35.2	-8.8	15.23429596
713	4.110873864	4.371820175	-76	-9.7	5.160379581
714	4.143134726	4.358627209	-75	-9.7	3.501721481
715	4.127134385	4.382378396	-74	-9.7	5.188712039
716	4.060443011	4.394730043	-73	-9.7	6.639541194
717	4.043051268	4.411268318	-72	-9.7	7.864919999
718	3.988984047	4.418599806	-71	-9.7	9.152492003
719	3.988984047	4.433027074	-70	-9.7	10.34971111
720	3.970291914	4.436872788	-69	-9.7	11.56541542
721	3.951243719	4.442532229	-68	-9.7	11.44586626
722	3.951243719	4.416421482	-67	-9.7	9.178751355
723	3.912023005	4.405885076	-66	-9.7	7.425248624
724	3.931825633	4.395926245	-65	-9.7	6.627620831
725	3.912023005	4.390460077	-64	-9.7	5.858498254
726	3.850147602	4.377134471	-63	-9.7	5.257470077
727	3.828641396	4.372648487	-62	-9.7	4.850277374
728	3.784189634	4.371577611	-61	-9.7	4.572999356
729	3.737669618	4.358701621	-60	-9.7	4.476427137
730	3.688879454	4.355612864	-59	-9.7	4.382791819
731	3.63758616	4.351219071	-58	-9.7	4.301422382
732	3.63758616	4.369578313	-57	-9.7	5.407770311
733	3.610917913	4.381080008	-56	-9.7	7.47724905
734	3.583518938	4.380566368	-55	-9.7	6.91716473
735	3.555348061	4.357776271	-54	-9.7	4.366034206
736	3.526360525	4.347430082	-53	-9.7	3.594147487
737	3.496507561	4.353676734	-52	-9.7	4.035719209
738	3.526360525	4.370516793	-51	-9.7	5.072272547
739	3.465735903	4.381705999	-50	-9.7	6.266554751
740	3.465735903	4.393003187	-49	-9.7	8.297508258
741	3.433987204	4.408810669	-48	-9.7	9.798264733
742	3.465735903	4.41276658	-47	-9.7	10.76796038
743	3.465735903	4.415377851	-46	-9.7	12.5971315
744	3.401197382	4.402956845	-45	-9.7	14.020492
745	3.465735903	4.404136552	-44	-9.7	12.51576207
746	3.496507561	4.406472709	-43	-9.7	12.25748753
747	3.526360525	4.406539429	-42	-9.7	14.35357114
748	3.63758616	4.368056856	-41	-9.7	20.01280684
