"alpha.prior" "dens.alpha.prior" "prior.w" "dens.w.prior"
"1" 0.0203866817207665 0.850347636438515 0.093 0.000269581107680966
"2" 0.0215436559498512 0.88573160716007 29.3072661448141 0.000300624273311745
"3" 0.0227006301789359 0.920973150535497 58.5215322896282 0.000330136455866159
"4" 0.0238576044080206 0.9560066754996 87.7357984344423 0.000357232631829137
"5" 0.0250145786371053 0.990766274025662 116.950064579256 0.000381411730394237
"6" 0.02617155286619 1.02511507035928 146.16433072407 0.00040225768020076
"7" 0.0273285270952747 1.05886846676707 175.378596868885 0.000419534046602795
"8" 0.0284855013243594 1.09206796142754 204.592863013699 0.000433180625091858
"9" 0.0296424755534441 1.12465757976712 233.807129158513 0.000443296903135264
"10" 0.0307994497825288 1.15657272698483 263.021395303327 0.000450115416800563
"11" 0.0319564240116135 1.1874199129894 292.235661448141 0.000453968593775993
"12" 0.0331133982406982 1.21743674066813 321.449927592955 0.000455252848619743
"13" 0.0342703724697829 1.24658476136442 350.664193737769 0.000454393501091392
"14" 0.0354273466988676 1.27482709359685 379.878459882583 0.000451751755384782
"15" 0.0365843209279523 1.30182559526358 409.092726027397 0.000447766154881916
"16" 0.037741295157037 1.32769844215541 438.306992172211 0.000442868985382641
"17" 0.0388982693861217 1.35254996899339 467.521258317025 0.00043733159159485
"18" 0.0400552436152064 1.37636492663325 496.73552446184 0.000431370009880811
"19" 0.0412122178442911 1.39895666899208 525.949790606654 0.000425149267312302
"20" 0.0423691920733758 1.42020518593859 555.164056751468 0.000418789953837923
"21" 0.0435261663024605 1.44039548197117 584.378322896282 0.000412375907697969
"22" 0.0446831405315452 1.45953328770094 613.592589041096 0.000405962081125506
"23" 0.0458401147606299 1.4776018855962 642.80685518591 0.000399581898537175
"24" 0.0469970889897146 1.49423316137815 672.021121330724 0.000393253662600748
"25" 0.0481540632187993 1.50987369515504 701.235387475538 0.000386988551732014
"26" 0.049311037447884 1.52454589922048 730.449653620352 0.000380790373701682
"27" 0.0504680116769687 1.53827315032422 759.663919765166 0.000374654168257475
"28" 0.0516249859060534 1.55081281401056 788.87818590998 0.000368578394720532
"29" 0.0527819601351381 1.5624011925392 818.092452054795 0.000362561501828791
"30" 0.0539389343642228 1.57317599906325 847.306718199609 0.000356602067057622
"31" 0.0550959085933075 1.58317003077953 876.520984344423 0.000350698612457605
"32" 0.0562528828223922 1.59229923618667 905.735250489237 0.000344849219075212
"33" 0.0574098570514769 1.60057976028558 934.949516634051 0.000339051059928529
"34" 0.0585668312805616 1.60823577135596 964.163782778865 0.000333299969553329
"35" 0.0597238055096463 1.61530237189867 993.378048923679 0.000327590164205051
"36" 0.060880779738731 1.62179787475751 1022.59231506849 0.000321915148218095
"37" 0.0620377539678157 1.62760635566977 1051.80658121331 0.000316265436335978
"38" 0.0631947281969004 1.63297863750514 1081.02084735812 0.000310629780584331
"39" 0.0643517024259851 1.63794611176921 1110.23511350294 0.000305000884199284
"40" 0.0655086766550698 1.64253968087619 1139.44937964775 0.000299374598737077
"41" 0.0666656508841545 1.64669875615317 1168.66364579256 0.000293751494306945
"42" 0.0678226251132392 1.65054710623448 1197.87791193738 0.000288138217444913
"43" 0.0689795993423239 1.65414315105185 1227.09217808219 0.00028254843679347
"44" 0.0701365735714086 1.65750991699964 1256.30644422701 0.000277003198140995
"45" 0.0712935478004933 1.66063873697218 1285.52071037182 0.000271530550319978
"46" 0.072450522029578 1.66355803782438 1314.73497651663 0.000266164360620203
"47" 0.0736074962586627 1.66633166851407 1343.94924266145 0.000260948837488936
"48" 0.0747644704877474 1.66897348329014 1373.16350880626 0.000255936087609161
"49" 0.0759214447168321 1.67149217002014 1402.37777495108 0.00025114879262151
"50" 0.0770784189459168 1.67387245692123 1431.59204109589 0.000246612919797314
"51" 0.0782353931750015 1.67616570249987 1460.8063072407 0.00024234387464987
"52" 0.0793923674040862 1.67837739717746 1490.02057338552 0.000238344567508449
"53" 0.0805493416331709 1.68051248847591 1519.23483953033 0.000234604547260216
"54" 0.0817063158622556 1.68255202172608 1548.44910567515 0.000231100309016846
"55" 0.0828632900913403 1.6845156281476 1577.66337181996 0.000227796768529098
"56" 0.0840202643204249 1.68640951427841 1606.87763796477 0.000224649785205541
"57" 0.0851772385495096 1.68823280399365 1636.09190410959 0.000221609515528293
"58" 0.0863342127785943 1.68996906440249 1665.3061702544 0.000218624278221296
"59" 0.087491187007679 1.69160959092256 1694.52043639922 0.00021563832569689
"60" 0.0886481612367638 1.69316776600617 1723.73470254403 0.000212608199124839
"61" 0.0898051354658485 1.69463987490109 1752.94896868885 0.00020950559282412
"62" 0.0909621096949332 1.69601667193449 1782.16323483366 0.00020631474435876
"63" 0.0921190839240179 1.69725955961968 1811.37750097847 0.000203033193103794
"64" 0.0932760581531026 1.69839846822214 1840.59176712329 0.000199671609299778
"65" 0.0944330323821873 1.69942971942331 1869.8060332681 0.000196252740115747
"66" 0.095590006611272 1.70034974378435 1899.02029941292 0.00019280954623622
"67" 0.0967469808403567 1.70111335031915 1928.23456555773 0.000189382627913379
"68" 0.0979039550694414 1.70174631566534 1957.44883170254 0.00018601706602874
"69" 0.099060929298526 1.70225703586091 1986.66309784736 0.000182762744306841
"70" 0.100217903527611 1.70264435067005 2015.87736399217 0.000179677066359717
"71" 0.101374877756695 1.70288193387695 2045.09163013699 0.000176782632750268
"72" 0.10253185198578 1.70296858890097 2074.3058962818 0.000174099627301336
"73" 0.103688826214865 1.70293423958223 2103.52016242661 0.000171634705536396
"74" 0.10484580044395 1.70278125305024 2132.73442857143 0.00016938027270635
