	Long	Lat	coords.x1	coords.x2	UID	wwf_terr_ecor_asc	wwf_biomes_asc	Morrone_Province	Morrone_Dominion	Elevation	Elev_Range	Temp	Temp_Seas	Prec	Prec_Seas	Bird_Richness_(4297)	Bothrops_Richness_(34)	Didelphidae_Richness_(94)	Hylidae_Richness_(473)	Sigmodontinae_Richness_(400)	pcps1.hylidae	pcps2.hylidae	pcps3.hylidae	pcps4.hylidae	pcps5.hylidae	pcps1.leptodactylidae	pcps2.leptodactylidae	pcps3.leptodactylidae	pcps4.leptodactylidae	pcps5.leptodactylidae	pcps1.bothrops	pcps2.bothrops	pcps3.bothrops	pcps4.bothrops	pcps5.bothrops	pcps1.didelphidae	pcps2.didelphidae	pcps3.didelphidae	pcps4.didelphidae	pcps5.didelphidae	pcps1.sigmodontinae	pcps2.sigmodontinae	pcps3.sigmodontinae	pcps4.sigmodontinae	pcps5.sigmodontinae	pcps1.tyrannidae	pcps2.tyrannidae	pcps3.tyrannidae	pcps4.tyrannidae	pcps5.tyrannidae	pcps1.furnariidae	pcps2.furnariidae	pcps3.furnariidae	pcps4.furnariidae	pcps5.furnariidae	pcps1_tyr+fur	pcps1_mean_all	pcps2.hylidae	pcps1.leptodactylidae	pcps1.bothrops	pcps1.didelphidae	pcps2.sigmodontinae	pcps1.tyrannidae	pcps1.furnariidae	pcps_mean_concordantes
11	-9425230.979	2659234.512	-97.7	21.3	153	70	1	15	13	35.164	71.95	23.537	339.121	1413.459	70.241	474	1	3	8	5	0.211954473	-0.5770788	-0.041110476	-0.050436466	0.019924764	-0.102370713	-0.175234047	0.01607109	-0.121702471	0.019338182	-0.169729636	-0.004608744	-0.20089292	-0.023118669	-0.045063365	-0.162641441	0.096150638	0.079953073	-0.10024053	-0.003489777	-0.301610145	0.1438445	0.05181294	-0.017345426	-0.105035941	-0.180372453	0.119522755	0.132965562	-0.083628048	0.064818557	0.305406394	-0.218341629	0.175129653	0.178640297	-0.009459451	0.062516971	-0.057051932	-0.5770788	0.102370713	0.169729636	0.162641441	-0.1438445	-0.180372453	0.305406394	-0.023021081
12	-8687996.303	2614872.589	-90.0	20.9	154	96	2	16	13	13.13	141.059	26.085	194.594	858.615	71.286	330	1	3	3	4	0.16440821	-0.650363313	0.123666561	0.026781855	0.070694535	-0.102370713	-0.175234047	0.01607109	-0.121702471	0.019338182	-0.169729636	-0.004608744	-0.20089292	-0.023118669	-0.045063365	-0.162641441	0.096150638	0.079953073	-0.10024053	-0.003489777	-0.325991482	0.207872138	0.021186378	-0.077653921	-0.079912588	-0.057465114	-0.036970214	0.076540768	-0.09820868	0.016909528	-0.005821676	-0.186844623	-0.096811078	-0.013243441	-1.62E-06	-0.031643395	-0.094230265	-0.650363313	0.102370713	0.169729636	0.162641441	-0.207872138	-0.057465114	-0.005821676	-0.069540064
13	-8576641.454	2652563.901	-88.9	21.3	155	96	2	16	13	10.184	13.052	25.79	192.552	1030.66	65.951	328	1	4	6	4	0.22171577	-0.548433318	0.110346019	0.008123376	0.152384673	-0.102370713	-0.175234047	0.01607109	-0.121702471	0.019338182	-0.169729636	-0.004608744	-0.20089292	-0.023118669	-0.045063365	-0.133448125	0.040526979	0.021764114	-0.08674715	0.025602	-0.325991482	0.207872138	0.021186378	-0.077653921	-0.079912588	-0.004058096	-0.035990519	0.089993402	-0.08701694	0.000138439	0.082286902	-0.198075843	-0.088824926	-0.010802189	0.039650236	0.039114403	-0.061656483	-0.548433318	0.102370713	0.169729636	0.133448125	-0.207872138	-0.004058096	0.082286902	-0.038932597
14	-8492201.033	2664269.405	-88.0	21.4	156	96	2	16	13	11.994	11.076	25.604	189.813	1120.795	56.895	370	1	4	6	4	0.22171577	-0.548433318	0.110346019	0.008123376	0.152384673	-0.102370713	-0.175234047	0.01607109	-0.121702471	0.019338182	-0.169729636	-0.004608744	-0.20089292	-0.023118669	-0.045063365	-0.133448125	0.040526979	0.021764114	-0.08674715	0.025602	-0.325991482	0.207872138	0.021186378	-0.077653921	-0.079912588	0.058771294	-0.001756209	0.08050525	-0.087848263	-0.049102926	0.15750986	-0.248073917	-0.041183768	0.006005359	0.061717166	0.108140577	-0.041934719	-0.548433318	0.102370713	0.169729636	0.133448125	-0.207872138	0.058771294	0.15750986	-0.019210833
15	-8407375.897	2651119.598	-87.1	21.3	157	75	1	16	13	18.03	168.87	25.447	199.959	1234.888	50.891	366	1	3	7	4	0.244385195	-0.500632276	0.017490127	-0.071217562	0.096373319	-0.102370713	-0.175234047	0.01607109	-0.121702471	0.019338182	-0.169729636	-0.004608744	-0.20089292	-0.023118669	-0.045063365	-0.162641441	0.096150638	0.079953073	-0.10024053	-0.003489777	-0.325991482	0.207872138	0.021186378	-0.077653921	-0.079912588	0.074375262	0.008198429	0.064964055	-0.07554937	-0.061115847	0.15750986	-0.248073917	-0.041183768	0.006005359	0.061717166	0.115942561	-0.040637565	-0.500632276	0.102370713	0.169729636	0.162641441	-0.207872138	0.074375262	0.15750986	-0.0059825
16	-10142733.86	2530670.244	-105.1	20.2	158	272	3	13	13	96.008	225.104	21.273	218.726	1269.014	114.808	461	0	2	9	5	0.166758903	-0.659160073	0.125282537	0.026501474	0.074060601	-0.102370713	-0.175234047	0.01607109	-0.121702471	0.019338182	0.045723051	0.047992221	0.049680113	-0.109437505	-0.005967871	-0.112856353	0.050693995	0.007079976	-0.018530651	0.026065853	-0.348906453	0.321329029	-0.103416839	-0.168734316	0.131474859	-0.196762085	0.131440286	0.142042386	-0.073189776	0.079771483	0.217162142	-0.401693006	0.04015387	0.181519278	0.126588666	0.010200029	-0.047321644	-0.659160073	0.102370713	-0.045723051	0.112856353	-0.321329029	-0.196762085	0.217162142	-0.112940719
17	-9458290.293	2539512.608	-98.0	20.3	165	70	1	15	13	104.732	141.378	17.68	230.774	1427.011	74.043	499	1	4	14	7	0.200049015	-0.613101277	0.071829374	-0.034177285	0.048130961	-0.102370713	-0.175234047	0.01607109	-0.121702471	0.019338182	-0.169729636	-0.004608744	-0.20089292	-0.023118669	-0.045063365	-0.153115447	0.043186429	-0.009530918	-0.044471964	-0.063389163	-0.335838293	0.246626267	-0.009736546	-0.096217347	-0.025121594	-0.180548952	0.121040743	0.133738785	-0.083756895	0.064794415	0.305406394	-0.218341629	0.175129653	0.178640297	-0.009459451	0.062428721	-0.062306805	-0.613101277	0.102370713	0.169729636	0.153115447	-0.246626267	-0.180548952	0.305406394	-0.044236329
18	-9355431.408	2530083.385	-97.0	20.2	166	70	1	15	13	57.7	150.457	21.846	280.357	1604.029	57.044	462	1	4	13	6	0.200049015	-0.613101277	0.071829374	-0.034177285	0.048130961	-0.102370713	-0.175234047	0.01607109	-0.121702471	0.019338182	-0.169729636	-0.004608744	-0.20089292	-0.023118669	-0.045063365	-0.153115447	0.043186429	-0.009530918	-0.044471964	-0.063389163	-0.277815399	0.097001384	0.059994719	0.02332629	-0.097837009	-0.179408097	0.113852474	0.128940383	-0.082387202	0.063489446	0.305406394	-0.218341629	0.175129653	0.178640297	-0.009459451	0.062999149	-0.05385484	-0.613101277	0.102370713	0.169729636	0.153115447	-0.097001384	-0.179408097	0.305406394	-0.022698367
19	-8686400.051	2539512.608	-90.0	20.3	167	96	2	16	13	19.793	35.514	25.99	200.971	1077.24	76.179	334	1	4	5	4	0.238251626	-0.512193479	0.107607917	0.043725022	0.180356594	-0.102370713	-0.175234047	0.01607109	-0.121702471	0.019338182	-0.169729636	-0.004608744	-0.20089292	-0.023118669	-0.045063365	-0.133448125	0.040526979	0.021764114	-0.08674715	0.025602	-0.325991482	0.207872138	0.021186378	-0.077653921	-0.079912588	-0.033539685	-0.040536837	0.083195164	-0.09754229	0.018956148	0.082286902	-0.198075843	-0.088824926	-0.010802189	0.039650236	0.024373609	-0.063505873	-0.512193479	0.102370713	0.169729636	0.133448125	-0.207872138	-0.033539685	0.082286902	-0.037967132
20	-8589913.77	2539512.608	-89.0	20.3	168	96	2	16	13	19.486	27.145	25.727	194.199	1154.544	64.401	317	1	4	6	4	0.22171577	-0.548433318	0.110346019	0.008123376	0.152384673	-0.102370713	-0.175234047	0.01607109	-0.121702471	0.019338182	-0.169729636	-0.004608744	-0.20089292	-0.023118669	-0.045063365	-0.133448125	0.040526979	0.021764114	-0.08674715	0.025602	-0.325991482	0.207872138	0.021186378	-0.077653921	-0.079912588	0.020770001	-0.025559157	0.088557871	-0.087535957	-0.015911429	0.15750986	-0.248073917	-0.041183768	0.006005359	0.061717166	0.089139931	-0.047363475	-0.548433318	0.102370713	0.169729636	0.133448125	-0.207872138	0.020770001	0.15750986	-0.024639589
